Tar (ND_Strategy 1.0)	Test	All: Net Profit	All: Gross Profit	All: Gross Loss	All: Total Trades	All: % Profitable	All: Winning Trades	All: Losing Trades	All: Max Winning Trade	All: Max Losing Trade	All: Avg Winning Trade	All: Avg Losing Trade	All: Win/Loss Ratio	All: Avg Trade	All: Max Consecutive Winners	All: Max Consecutive Losers	All: Avg Bars in Winner	All: Avg Bars in Loser	All: Max Intraday Drawdown	All: ProfitFactor	All: Max Contracts Held	All: Required Account Size	All: Return on Account
300.00	1	26477.6740504	198489.9151768	-172012.2411263	1023	69.4037146	710	313	769.2995854	-900.6792739	279.5632608	-549.5598758	0.5087039	25.8823793	17	6	30	56	-15008.4969942	1.1539290	1	15008.4969942	176.4178922
400.00	2	43317.1316861	242850.0722062	-199532.9405201	1022	64.4814090	659	363	769.2995854	-900.6792739	368.5130079	-549.6775221	0.6704167	42.3846690	16	6	43	66	-12430.8836535	1.2170926	1	12430.8836535	348.4638172
500.00	3	42817.4770736	273015.3276120	-230197.8505384	1016	58.5629921	595	421	769.2995854	-900.6792739	458.8492901	-546.7882436	0.8391718	42.1431861	10	6	55	77	-14731.6502109	1.1860029	1	14731.6502109	290.6495638
600.00	4	61147.1048395	306624.8449528	-245477.7401133	1008	55.2579365	557	451	1194.3914797	-900.6792739	550.4934380	-544.2965413	1.0113851	60.6618104	10	6	65	88	-12803.5913939	1.2490943	1	12803.5913939	477.5777589
700.00	5	63942.8078010	330370.9861553	-266428.1783544	1004	51.1952191	514	490	1194.3914797	-1186.0232148	642.7451093	-543.7309762	1.1821013	63.6880556	10	10	85	93	-11031.9126602	1.2400002	1	11031.9126602	579.6166972
800.00	6	81701.1900342	358470.4531842	-276769.2631501	1002	48.8023952	489	513	1194.3914797	-900.6792739	733.0684114	-539.5112342	1.3587639	81.5381138	9	12	100	102	-8821.3330954	1.2951960	1	8821.3330954	926.1773606
900.00	7	91550.8427855	378286.1861809	-286735.3433955	991	46.3168517	459	532	1194.3914797	-904.8135951	824.1529111	-538.9762094	1.5291081	92.3822833	9	12	124	106	-8662.8455110	1.3192869	1	8662.8455110	1056.8218338
1000.00	8	95382.3372302	392936.5334688	-297554.1962386	983	43.7436419	430	553	1946.8719838	-900.6792739	913.8058918	-538.0726876	1.6982945	97.0318792	7	12	148	110	-9388.9120221	1.3205545	1	9388.9120221	1015.9040473
1100.00	9	104784.8146740	402939.1355710	-298154.3208970	961	41.9354839	403	558	1946.8719838	-900.6792739	999.8489716	-534.3267400	1.8712314	109.0372681	7	12	172	122	-10283.4652457	1.3514449	1	10283.4652457	1018.9640571
1200.00	10	92258.3579774	400060.5613345	-307802.2033571	948	39.1350211	371	576	1946.8719838	-1122.5082725	1078.3303540	-534.3788253	2.0179137	97.3189430	6	13	197	126	-10584.3394001	1.2997326	1	10584.3394001	871.6496561
